arm,bg_bound_ok,bg_max_abs_err,bg_psnr_db,bin_factor,cmp_gbs,compressed_bytes,cr,dataset,dec_gbs,eb_bg,eb_roi,frame,global_max_abs_err,global_psnr_db,half_width,npeaks,roi_bound_ok,roi_frac_pct,roi_max_abs_err,roi_pixels,roi_psnr_db,status,tuning,value_range
pfpl,1,9.999969482421875,68.914001011644,1,176.25537139349294,1527757,6.0139406986844115,EXAFEL,161.6211652124965,1000.0,10.0,exafel_f009,9.999969482421875,68.91336443169826,4,217,1,0.7607011005851212,9.9998779296875,17473,68.83110770201128,ok,,15828.1748046875
cuszp3,1,9.999969482421875,68.914001011644,1,137.37799,1574016,5.83719606408067,EXAFEL,135.1789,1000.0,10.0,exafel_f009,9.999969482421875,68.91336443169826,4,217,1,0.7607011005851212,9.9998779296875,17473,68.83110770201128,ok,,15828.1748046875
roibin_b1,1,999.8628540039062,33.09132374594357,1,93.860739,44304,207.38172625496568,EXAFEL,87.965688,1000.0,10.0,exafel_f010,999.8628540039062,33.093773581349765,4,16,1,0.05642240178322653,9.981903076171875,1296,66.01733006143414,ok,,11307.9609375
roibin_b2,n/a,2710.32666015625,33.06495867104992,2,121.86757,13024,705.4545454545455,EXAFEL,102.54286,1000.0,10.0,exafel_f010,2710.32666015625,33.067408514021096,4,16,1,0.05642240178322653,9.981903076171875,1296,66.01733006143414,ok,,11307.9609375
cuszhi,1,10.0,65.84168243785996,1,27.39012680227818,1376306,6.675724729820258,EXAFEL,28.45589692765114,1000.0,10.0,exafel_f010,10.0,65.84180697966805,4,16,1,0.05642240178322653,9.98052978515625,1296,66.06821721055577,ok,spline/cr-first/cr,11307.9609375
pfpl,1,9.999977111816406,65.93545869239279,1,176.09322293774915,1575238,5.832667825433363,EXAFEL,162.44413012729845,1000.0,10.0,exafel_f010,9.999977111816406,65.93550445373691,4,16,1,0.05642240178322653,9.981903076171875,1296,66.01733006143414,ok,,11307.9609375
cuszp3,1,9.999977111816406,65.93545869239279,1,133.04913,1615168,5.688473273368467,EXAFEL,129.10072,1000.0,10.0,exafel_f010,9.999977111816406,65.93550445373691,4,16,1,0.05642240178322653,9.981903076171875,1296,66.01733006143414,ok,,11307.9609375
roibin_b1,1,999.891845703125,36.040067118731294,1,95.994652,66976,137.18107978977545,EXAFEL,92.262212,1000.0,10.0,exafel_f011,999.891845703125,36.0660993270547,4,170,1,0.5979207300083589,9.99652099609375,13734,69.03700070122848,ok,,16301.8876953125
roibin_b2,n/a,4617.87744140625,36.00282216930783,2,116.57329,31968,287.4074074074074,EXAFEL,103.84086,1000.0,10.0,exafel_f011,4617.87744140625,36.02885448951316,4,170,1,0.5979207300083589,9.99652099609375,13734,69.03700070122848,ok,,16301.8876953125
cuszhi,1,10.0,69.01848101062988,1,26.379704385974986,1388229,6.61838932913806,EXAFEL,27.980314768795985,1000.0,10.0,exafel_f011,10.0,69.01840411490984,4,170,1,0.5979207300083589,9.999980926513672,13734,69.00563938034409,ok,spline/cr-first/cr,16301.8876953125
pfpl,1,9.999984741210938,69.09659926800933,1,176.14723926380367,1586852,5.7899791536954925,EXAFEL,159.11332779163206,1000.0,10.0,exafel_f011,9.999984741210938,69.09624047429746,4,170,1,0.5979207300083589,9.99652099609375,13734,69.03700070122848,ok,,16301.8876953125
cuszp3,1,9.999984741210938,69.09659926800933,1,124.13316,1627600,5.645023347259769,EXAFEL,102.98422,1000.0,10.0,exafel_f011,9.999984741210938,69.09624047429746,4,170,1,0.5979207300083589,9.99652099609375,13734,69.03700070122848,ok,,16301.8876953125
roibin_b1,1,999.9937744140625,34.9320681642601,1,95.262113,86592,106.1049519586105,EXAFEL,91.236098,1000.0,10.0,exafel_f012,999.9937744140625,34.97244411089249,4,264,1,0.9257453329618278,9.999755859375,21264,68.99713317780939,ok,,16267.1318359375
roibin_b2,n/a,10287.6748046875,34.869995224187356,2,88.946719,42032,218.59154929577466,EXAFEL,76.058276,1000.0,10.0,exafel_f012,10287.6748046875,34.91037139667229,4,264,1,0.9257453329618278,9.999755859375,21264,68.99713317780939,ok,,16267.1318359375
cuszhi,1,10.0,68.99453442022394,1,26.52428524207296,1415552,6.490641106790849,EXAFEL,27.636923669265574,1000.0,10.0,exafel_f012,10.0,68.99478263496664,4,264,1,0.9257453329618278,9.99981689453125,21264,69.02142918033232,ok,spline/cr-first/cr,16267.1318359375
pfpl,1,10.0,69.05149881106748,1,177.94855903315775,1616198,5.684848019858953,EXAFEL,162.0316027088036,1000.0,10.0,exafel_f012,10.0,69.0509923899836,4,264,1,0.9257453329618278,9.999755859375,21264,68.99713317780939,ok,,16267.1318359375
cuszp3,1,10.0,69.05149881106748,1,136.14035,1656176,5.547622957946499,EXAFEL,133.4821,1000.0,10.0,exafel_f012,10.0,69.0509923899836,4,264,1,0.9257453329618278,9.999755859375,21264,68.99713317780939,ok,,16267.1318359375
roibin_b1,1,999.998046875,29.0212546533876,1,88.426238,152672,60.18025571159086,EXAFEL,90.090993,1000.0,10.0,exafel_f013,999.998046875,29.026923962366865,4,37,1,0.13047680412371132,9.9931640625,2997,66.89117061914797,ok,,12721.2431640625
roibin_b2,n/a,4925.7919921875,28.811527271020935,2,121.86757,29552,310.9041689225771,EXAFEL,97.361814,1000.0,10.0,exafel_f013,4925.7919921875,28.817196623683905,4,37,1,0.13047680412371132,9.9931640625,2997,66.89117061914797,ok,,12721.2431640625
cuszhi,1,10.0,66.85579543431717,1,26.770588552372992,1504383,6.107380899677808,EXAFEL,27.062538291154155,1000.0,10.0,exafel_f013,10.0,66.85569737545387,4,37,1,0.13047680412371132,9.999417304992676,2997,66.7812832132364,ok,spline/cr-first/cr,12721.2431640625
pfpl,1,10.0,66.86756583078224,1,175.17998779743746,1715662,5.355273940904444,EXAFEL,161.4848143982002,1000.0,10.0,exafel_f013,10.0,66.86759654611697,4,37,1,0.13047680412371132,9.9931640625,2997,66.89117061914797,ok,,12721.2431640625
cuszp3,1,10.0,66.86756583078224,1,131.10503,1758976,5.223402707029544,EXAFEL,132.06992,1000.0,10.0,exafel_f013,10.0,66.86759654611697,4,37,1,0.13047680412371132,9.9931640625,2997,66.89117061914797,ok,,12721.2431640625
